date,Unnamed: 0,Accession,FTPLink,Id,PDAT,entryType,summary,taxon,title
2019-05-01,8634,GSE130512,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130512/,200130512,2019-05-01,GSE,Exosomes and exosomal miRNAs from the plasma of volunteers were isolated from thyroid nodules and papillary tyriod cancer patients . Profiling of exosomal miRNA was performed using next-generation sequencing(NGS) to identify miRNA candidates for diagnosis.,Homo sapiens,Diagnostic value of a panel of plasma exosomal miRNAs as potential biomarkers for thyroid nodules
2019-05-01,8635,GSE130488,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130488/,200130488,2019-05-01,GSE,"Data were obtained via Nanostring nCounter Gene Expression Assay (PanCancer Progression Panel, XT_PGX_HuV1_CancerProg_CSO XT-CSO-PROG1-12, Cat. no. 115000152, Nanostring Technologies, Hamburg, Germany) We aimed to reveal Death-associated protein kinase 1 (DAPK1)-dependent gene expression in the context of tumor progression covering genes involved in extracellular matrix, epithelial-mesenchymal transition, metastasis and angiogenesis comparing HCT116 DAPK1 wt cells and three different monoclonal DAPK1 ko clones named clone 7/6, clone 10/8 and clone 21/9. DAPK1 ko clones were generated by CRISPR/Cas9-mediated genomic editing.",Homo sapiens,Comparison of endogenous gene expression of HCT116 colorectal cancer cells and HCT116-derived DAPK1 knockout (ko) clones.
2019-05-01,8637,GSE130477,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130477/,200130477,2019-05-01,GSE,"ATF1 encodes a sequence-specific activating TF containing a bZIP DNA binding domain, which is overexpressed in CRC tumor tissues compared with their paired normal tissues in two independent cohorts and that ATF1 amplification also frequently occurs across multiple cancer types. Moreover, ATF1 is more highly expressed in advanced stages of CRC. Mechanistically, ATF1 overexpression could provoke cell proliferation and xenograft growth in vitro and in vivo by affecting cell apoptosis, However, the exact mechanism and downstream transcriptional programs by which ATF1 provokes tumor activity are not well understood. We performed ChIP-seq in HCT116cells to investigate the regulatory mechamisms of ATF1.",Homo sapiens,Examination of ATF1 transcription factor binding peaks in colorectal cancer HCT116 cells
2019-05-01,8638,GSE129339,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129339/,200129339,2019-05-01,GSE,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,Chromatin-informed inference of transcriptional programs in gynecologic cancers
2019-05-01,8639,GSE129337,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129337/,200129337,2019-05-01,GSE,"RNA-seq of MDA-MB-436 cells in control cells (shRen) and upon knockdown of MITF ( shQa, sh962) were generated by deep sequencing in duplicates",Homo sapiens,Chromatin-informed inference of transcriptional programs in gynecologic cancers [RNA-Seq]
2019-05-01,8640,GSE128933,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128933/,200128933,2019-05-01,GSE,"peripheral blood samples of two leukemia patients in remission were profiled by single cell RNA sequencing approximately 1 year after receiving WT1 specific transgenic T cell therapy, at a time when patients were in clinical remission",Homo sapiens,scRNA sequencing of 2 leukemia patients in remission after T cell therapy
2019-05-01,8641,GSE128223,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128223/,200128223,2019-05-01,GSE,"γδ T lymphocytes represent ~1% of human PBMC and even more cells in most tissues of vertebrates. Although they have important anticancer functions, most current scRNA-Seq studies do not identify γδ T lymphocytes since their transcriptomes at the single cell level are unknown. Here we show that high resolution clustering of large scRNA-Seq data sets and a combination of gene signatures allow the specific detection of human γδ T lymphocytes and identification of their TCRVδ1 and TCRVδ2 subsets in large data sets from complex cell mixtures. In t-SNE plots from blood and tumor samples, the few γδ T lymphocytes appear collectively embedded between cytotoxic CD8 T and NK cells. Their TCRVδ1 and TCRVδ2 subsets form close yet distinct sub-clusters respectively neighbouring NK and CD8 T cells owing to expression of shared and distinct cytotoxic maturation genes. Similar pseudo-time maturation trajectories of TCRVδ1 and TCRVδ2 γδ T lymphocytes were discovered, unveiling in both subsets an unattended pool of TEMRA cells with preserved proliferative capacity, a finding confirmed by in vitro proliferation assays. Overall, the single cell transcriptomes of thousands of individual gd T lymphocytes from different CMV+ and CMV- donors reflect cytotoxic maturation stages driven by the immunological history of donors. This landmark study establishes the rationale for identification, subtyping and deep characterization of human γδ T lymphocytes in further scRNA-Seq studies of complex tissues in physiological and disease conditions.",Homo sapiens,Single cell RNAseq of human TCRVdelta 1 and TCRVdelta 2 gammadelta T lymphocytes purified from healthy adults blood
2019-05-01,8642,GSE126672,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126672/,200126672,2019-05-01,GSE,Genome-wide DNA methylation profiling in response to overexpression or knockdown of NNMT in stromal cells. The Illumina MethylationEPIC array was used to profiled genome-wide methylation of normal fibroblasts expressing a control construct or NNMT overexpression construt and cancer-associated fibroblasts (CAFs) expressing an shCtrl or shNNMT construct. Two biological replicates of each experimental group were profiled following growth in 10 micromolar methionine growth media for 21 days.,Homo sapiens,DNA methylation analysis of NNMT overexpression and knockdown in stromal cells
2019-05-01,8644,GSE126254,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126254/,200126254,2019-05-01,GSE,"Resistance to proteasome inhibitors has prompted interest in blocking upstream components of the ubiquitin-proteasome pathway for the treatment of multiple myeloma (MM). We therefore evaluated the activity of TAK-243, a novel and specific inhibitor of E1 ubiquitin activating enzyme (UAE) activity, in the MM cell line MM1.S. Treatment of MM1.S with 25 nM TAK-243 for 24 hr caused extensive changes in gene expression, highly uniform between triplicates.",Homo sapiens,Effect of ubiquitin-activating enzyme inhibition on multiple myeloma cell line MM1.S
2019-05-01,8645,GSE126068,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126068/,200126068,2019-05-01,GSE,"Little is currently known about the heterogeneity of leukemic initiating cells and how they evolve during AML disease progression. AML exhibits extremely few DNA mutations (an average of 13 per patient); therefore, it is likely that RNA based changes also play crucial roles in the development and progression of AML. We have optimized a method to robustly and cost-effectively perform single cell RNA sequencing on AML initiating cells (CD34+CD38-CD45RA+CD90-Lin-7AAD-). We completed a study on serial diagnosis/relapse samples from five AML patients, which revealed strong evidence of the evolution of RNA based changes in AML initiating cells.",Homo sapiens,Heterogeneity and evolution in acute myeloid leukemia initiating cells
